model,model_p,model_f,num_nan,odm,grad
ACCESS-CM2,1,1,0,-0.9143217471414709,0.13130458430663958
ACCESS-ESM1-5,1,1,0,5.689967140504992,-0.3697544060396259
BCC-CSM2-MR,1,1,0,4.641881668682837,-0.20371251583099367
BCC-ESM1,1,1,0,-0.5451811742955348,0.13147999142127606
CAMS-CSM1-0,1,1,0,6.403432297987353,-0.20962937648462052
CESM2,1,1,0,0.5846743811866739,0.11111971448066534
CIESM,1,1,0,6.406028228037169,-0.2945971382235775
CMCC-CM2-SR5,1,1,0,5.575223187555151,-0.2599355820300803
CNRM-ESM2-1,1,2,0,-4.9160373484598825,0.4132050332829758
CanESM5,1,1,0,5.438550850946978,-0.2377013028519495
CanESM5,2,1,0,5.407102910647899,-0.24401125140334728
E3SM-1-1,1,1,0,-4.3911505101959465,0.3705715499206553
E3SM-1-1-ECA,1,1,0,2.4135271028836005,-0.10535668325009956
EC-Earth3-CC,1,1,0,3.999782422300124,-0.17868675860812458
EC-Earth3-Veg,1,1,0,4.368949125160055,-0.2597225417125793
FGOALS-f3-L,1,1,0,-22.19733694697491,1.4050268003831652
FGOALS-g3,1,1,0,5.017665933353316,-0.3450259184561181
FIO-ESM-2-0,1,1,0,5.064154807841722,-0.2264828624841944
GFDL-CM4,1,1,0,0.17773655465835653,0.057439682446851666
GFDL-ESM4,1,1,0,-0.4771729821532701,0.0930429773704368
GISS-E2-1-G,1,1,0,0.6896306747687624,0.009512192984345292
GISS-E2-1-G-CC,1,1,0,2.1347710034409597,0.06255218212822379
HadGEM3-GC31-LL,1,3,0,2.2156944713154862,0.008200912786650036
HadGEM3-GC31-MM,1,3,0,4.050028903152488,-0.1467177237388097
INM-CM4-8,1,1,0,-16.500429319061233,1.0542431285551617
INM-CM5-0,1,1,0,5.2786677167247005,-0.2935617846968264
IPSL-CM5A2-INCA,1,1,0,-1.4122627353178696,0.06188652277146218
IPSL-CM6A-LR,1,1,0,-0.597600493216571,0.11963445163678325
IPSL-CM6A-LR-INCA,1,1,0,10.550944992601153,-0.6509809339702359
MCM-UA-1-0,1,1,0,-1.0842517142998414,0.04190893326947123
MIROC6,1,1,0,-3.1674969892211,0.3082302736645346
MPI-ESM-1-2-HAM,1,1,0,2.0825604953195747,-0.10600225691169388
MPI-ESM1-2-HR,1,1,0,3.3597641462577146,-0.2242477348228219
MPI-ESM1-2-LR,1,1,0,1.4941225192109178,0.0097484266159617
MRI-ESM2-0,1,1,0,-3.1799342453259296,0.30511397108277405
NESM3,1,1,0,-8.575442774685612,0.6634783444163346
NorESM2-LM,1,1,0,-7.529373712267205,0.5940324453564608
NorESM2-MM,1,1,0,-3.4244967707833216,0.2678046271408233
SAM0-UNICON,1,1,0,-0.9550514801184902,0.19699849228524485
UKESM1-0-LL,1,2,0,-2.093775788993362,0.2958779927666276
UKESM1-0-LL,1,3,0,-3.7848847003950583,0.3633108735076863
